pmProductId,productName,legacyProductId
PA00000063,5G 시니어 B형,NA00008234
PA00000064,5G 시니어 C형,NA00008235
PA00000065,0 청년 89,NA00008140
PA00000066,5GX 프라임플러스(넷플릭스),NA00008721
PA00000067,5GX 프라임(넷플릭스),NA00008722
PA00000068,0 청년 99(넷플릭스),NA00008727
PA00000069,0 청년 89(넷플릭스),NA00008728
PA00000070,컴팩트,NA00008562
PA00000071,5GX 프리미엄(넷플릭스),NA00008720
PA00000072,다이렉트5G 69(넷플릭스),NA00008724
PA00000073,다이렉트5G 62(넷플릭스),NA00008725
PA00000074,0 청년 다이렉트 69(넷플릭스),NA00008730
PA00000075,0 청년 다이렉트 62(넷플릭스),NA00008731
PA00000076,0 청년 109,NA00008676
PA00000077,다이렉트5G 76,NA00008685
PA00000078,다이렉트5G 76(넷플릭스),NA00008723
PA00000079,0 청년 109(넷플릭스),NA00008726
PA00000080,5GX 프라임플러스,NA00007622
PA00000081,0 청년 37,NA00008677
PA00000082,컴팩트플러스,NA00008563
PA00000083,5GX 프리미엄,NA00008565
PA00000084,슬림,NA00006402
PA00000085,베이직,NA00007620
PA00000086,0 청년 49,NA00008145
PA00000087,0 청년 다이렉트 34,NA00008160
PA00000088,0 청년 다이렉트 30,NA00008285
PA00000089,0 청년 43,NA00008287
PA00000090,0 청년 다이렉트 69,NA00008154
PA00000091,0 청년 다이렉트 62,NA00008155
PA00000092,0 청년 다이렉트 55,NA00008156
PA00000093,0 청년 다이렉트 48,NA00008157
PA00000094,0 청년 다이렉트 42,NA00008158
PA00000095,뉴실버요금제,NA00000007
PA00000096,T플랜 시니어 세이브,NA00006793
PA00000097,T플랜 시니어 안심4.5G,NA00006795
PA00000098,T끼리 어르신,NA00004934
PA00000099,T플랜 시니어 안심2.8G,NA00006794
PA00000100,0플랜 스몰,NA00006155
PA00000101,0플랜 미디엄,NA00006156
PA00000102,베이직플러스 75GB업,NA00008267
PA00000103,베이직플러스 30GB업,NA00008269
PA00000104,베이직플러스 13GB업,NA00008270
PA00000105,베이직플러스 50GB업,NA00008268
PA00000106,0 청년 99,NA00008139
PA00000107,0 청년 69,NA00008142
PA00000108,0 청년 79,NA00008141
PA00000109,0 청년 59,NA00008143
PA00000228,마이투넘버,NA00008075
PA00000231,5GX 플래티넘(넷플릭스),NA00008719
PA00000693,5GX 플래티넘(스마트기기),NA00009099
PA00002803,5GX 프라임플러스(디즈니+),NA00009126
PA00002804,다이렉트5G 76(유튜브 프리미엄),NA00009122
PA00002805,0 청년 99(디즈니+),NA00009130
PA00002806,다이렉트5G 76(디즈니+),NA00009127
PA00002807,0 청년 109(디즈니+),NA00009129
PA00002808,5GX 프리미엄(유튜브 프리미엄),NA00009121
PA00002809,5GX 프리미엄(디즈니+),NA00009125
PA00002810,5GX 프리미엄(스마트기기),NA00009100
PA00002811,0 청년 109(스마트기기),NA00009102
PA00002812,0 청년 109(유튜브 프리미엄),NA00009123
PA00002813,다이렉트5G 76(스마트기기),NA00009101
PA00002814,다이렉트 5G 69(디즈니+),NA00009128
PA00002815,0 청년 다이렉트 69(디즈니+),NA00009131
