groupName,pmProductId,legacyProductId,productName
TING_PRCPLN,PA00000091,NA00008155,0 청년 다이렉트 62
TING_PRCPLN,PA00000092,NA00008156,0 청년 다이렉트 55
TING_PRCPLN,PA00000093,NA00008157,0 청년 다이렉트 48
TING_PRCPLN,PA00000094,NA00008158,0 청년 다이렉트 42
TING_PRCPLN,PA00000100,NA00006155,0플랜 스몰
TING_PRCPLN,PA00000101,NA00006156,0플랜 미디엄
TING_PRCPLN,PA00000106,NA00008139,0 청년 99
TING_PRCPLN,PA00000107,NA00008142,0 청년 69
TING_PRCPLN,PA00000108,NA00008141,0 청년 79
TING_PRCPLN,PA00000109,NA00008143,0 청년 59
TING_PRCPLN,PA00000226,NA00008354,0틴 5G 43
TING_PRCPLN,PA00000229,NA00008688,0 청년 다이렉트 76
TING_PRCPLN,PA00000230,NA00008729,0 청년 다이렉트 76(넷플릭스)
TING_PRCPLN,PA00000243,NA00004290,3G T끼리팅45
TING_PRCPLN,PA00000244,NA00004292,LTE T끼리팅35
TING_PRCPLN,PA00000245,NA00004293,LTE T끼리팅45
TING_PRCPLN,PA00000246,NA00004294,LTE T끼리팅55
TING_PRCPLN,PA00000292,NA00001461,자녀안심요금제
TING_PRCPLN,PA00000294,NA00002861,팅프리존19요금
TING_PRCPLN,PA00000297,NA00002591,팅PLUS14요금
TING_PRCPLN,PA00000299,NA00002593,팅PLUS24요금
TING_PRCPLN,PA00000309,NA00002592,팅PLUS19요금
TING_PRCPLN,PA00000313,NA00002594,팅PLUS29요금
TING_PRCPLN,PA00000331,NA00001058,팅문자프리미엄요금제
TING_PRCPLN,PA00000340,NA00003048,올인원팅44
TING_PRCPLN,PA00000341,NA00003160,팅스마트24
TING_PRCPLN,PA00000342,NA00003161,팅스마트29
TING_PRCPLN,PA00000343,NA00003146,팅스마트19
TING_PRCPLN,PA00000353,NA00003011,올인원팅34
TING_PRCPLN,PA00000372,NA00004828,3G band 팅 세이브
TING_PRCPLN,PA00000394,NA00003408,LTE팅24
TING_PRCPLN,PA00000425,NA00000087,017아이니플러스요금제
TING_PRCPLN,PA00000428,NA00004827,band 팅 3.0G
TING_PRCPLN,PA00000475,NA00000030,팅500요금제
TING_PRCPLN,PA00000482,NA00002863,팅프리존29요금
TING_PRCPLN,PA00000495,NA00000033,팅별조절요금제
TING_PRCPLN,PA00000498,NA00002862,팅프리존24요금
TING_PRCPLN,PA00000501,NA00001841,팅주니어표준
TING_PRCPLN,PA00000509,NA00002864,팅프리존34요금
TING_PRCPLN,PA00000519,NA00004738,온가족 행복플랜 팅37
TING_PRCPLN,PA00000540,NA00004739,온가족 행복플랜 팅47
TING_PRCPLN,PA00000541,NA00004740,온가족 행복플랜 팅57
TING_PRCPLN,PA00000548,NA00000086,017아이니요금제
TING_PRCPLN,PA00000553,NA00000029,팅100요금제
TING_PRCPLN,PA00000557,NA00002669,팅주니어표준+요금
TING_PRCPLN,PA00000575,NA00000034,팅문자무제한무료요금제
TING_PRCPLN,PA00000577,NA00003407,LTE팅52
TING_PRCPLN,PA00000602,NA00003406,LTE팅42
TING_PRCPLN,PA00000608,NA00004829,3G band 팅 2.0G
TING_PRCPLN,PA00000609,NA00004830,3G band 팅 3.0G
TING_PRCPLN,PA00000618,NA00004825,band 팅 세이브
TING_PRCPLN,PA00000620,NA00004826,band 팅 2.0G
TING_PRCPLN,PA00000621,NA00004291,3G T끼리팅55
TING_PRCPLN,PA00000624,NA00003405,LTE팅34
TING_PRCPLN,PA00000625,NA00004289,3G T끼리팅35
TING_PRCPLN,PA00000627,NA00005629,주말엔 팅 5.0G
TING_PRCPLN,PA00000628,NA00005628,주말엔 팅 3.0G
TING_PRCPLN,PA00002805,NA00009130,0 청년 99(디즈니+)
TING_PRCPLN,PA00002807,NA00009129,0 청년 109(디즈니+)
TING_PRCPLN,PA00002811,NA00009102,0 청년 109(스마트기기)
TING_PRCPLN,PA00002812,NA00009123,0 청년 109(유튜브 프리미엄)
TING_PRCPLN,PA00000110,NA00004407,ZEM플랜 워치(문자)
TING_PRCPLN,PA00000139,NA00004484,ZEM플랜 워치
TING_PRCPLN,PA00002815,NA00009131,0 청년 다이렉트 69(디즈니+)
TING_PRCPLN,PA00000232,NA00005627,주말엔 팅 세이브
ONESVC_SILVER_PROD,PA00000016,NA00006797,T플랜 시니어 스페셜
ONESVC_SILVER_PROD,PA00000017,NA00006796,T플랜 시니어 에센스
ONESVC_SILVER_PROD,PA00000062,NA00008208,5G 시니어 A형
ONESVC_SILVER_PROD,PA00000063,NA00008234,5G 시니어 B형
ONESVC_SILVER_PROD,PA00000064,NA00008235,5G 시니어 C형
ONESVC_SILVER_PROD,PA00000095,NA00000007,뉴실버요금제
ONESVC_SILVER_PROD,PA00000096,NA00006793,T플랜 시니어 세이브
ONESVC_SILVER_PROD,PA00000097,NA00006795,T플랜 시니어 안심4.5G
ONESVC_SILVER_PROD,PA00000098,NA00004934,T끼리 어르신
ONESVC_SILVER_PROD,PA00000099,NA00006794,T플랜 시니어 안심2.8G
ONESVC_SILVER_PROD,PA00000359,NA00004441,골든에이지42
ONESVC_SILVER_PROD,PA00000378,NA00003494,골든에이지15
ONESVC_SILVER_PROD,PA00000405,NA00004812,3G band어르신 1.2G
ONESVC_SILVER_PROD,PA00000408,NA00004813,3G band어르신 2.2G
ONESVC_SILVER_PROD,PA00000410,NA00004808,band 어르신 세이브
ONESVC_SILVER_PROD,PA00000414,NA00004809,band 어르신 1.2G
ONESVC_SILVER_PROD,PA00000506,NA00003495,골든에이지34
ONESVC_SILVER_PROD,PA00000530,NA00004442,골든에이지52
ONESVC_SILVER_PROD,PA00000532,NA00004880,스마트 어르신팩
ONESVC_SILVER_PROD,PA00000545,NA00003179,실버스마트15
ONESVC_SILVER_PROD,PA00000599,NA00004810,band 어르신 2.2G
ONESVC_SILVER_PROD,PA00000600,NA00004811,3G band어르신 세이브
NETFLIX_PRCPLN,PA00000066,NA00008721,5GX 프라임플러스(넷플릭스)
NETFLIX_PRCPLN,PA00000067,NA00008722,5GX 프라임(넷플릭스)
NETFLIX_PRCPLN,PA00000068,NA00008727,0 청년 99(넷플릭스)
NETFLIX_PRCPLN,PA00000069,NA00008728,0 청년 89(넷플릭스)
NETFLIX_PRCPLN,PA00000071,NA00008720,5GX 프리미엄(넷플릭스)
NETFLIX_PRCPLN,PA00000072,NA00008724,다이렉트5G 69(넷플릭스)
NETFLIX_PRCPLN,PA00000073,NA00008725,다이렉트5G 62(넷플릭스)
NETFLIX_PRCPLN,PA00000074,NA00008730,0 청년 다이렉트 69(넷플릭스)
NETFLIX_PRCPLN,PA00000075,NA00008731,0 청년 다이렉트 62(넷플릭스)
NETFLIX_PRCPLN,PA00000078,NA00008723,다이렉트5G 76(넷플릭스)
NETFLIX_PRCPLN,PA00000079,NA00008726,0 청년 109(넷플릭스)
NETFLIX_PRCPLN,PA00000230,NA00008729,0 청년 다이렉트 76(넷플릭스)
NETFLIX_PRCPLN,PA00000231,NA00008719,5GX 플래티넘(넷플릭스)
디즈니+ 요금제,PA00002802,NA00009124,5GX 플래티넘(디즈니+)
디즈니+ 요금제,PA00002806,NA00009127,다이렉트5G 76(디즈니+)
디즈니+ 요금제,PA00002803,NA00009126,5GX 프라임플러스(디즈니+)
디즈니+ 요금제,PA00002805,NA00009130,0 청년 99(디즈니+)
디즈니+ 요금제,PA00002807,NA00009129,0 청년 109(디즈니+)
디즈니+ 요금제,PA00002809,NA00009125,5GX 프리미엄(디즈니+)
디즈니+ 요금제,PA00002814,NA00009128,다이렉트 5G 69(디즈니+)
디즈니+ 요금제,PA00002815,NA00009131,0 청년 다이렉트 69(디즈니+)
스마트기기 요금제,PA00000693,NA00009099,5GX 플래티넘(스마트기기)
스마트기기 요금제,PA00002810,NA00009100,5GX 프리미엄(스마트기기)
스마트기기 요금제,PA00002811,NA00009102,0 청년 109(스마트기기)
스마트기기 요금제,PA00002813,NA00009101,다이렉트5G 76(스마트기기)
유튜프 프리미엄 요금제,PA00002804,NA00009122,다이렉트5G 76(유튜브 프리미엄)
유튜프 프리미엄 요금제,PA00002808,NA00009121,5GX 프리미엄(유튜브 프리미엄)
유튜프 프리미엄 요금제,PA00000694,NA00009120,5GX 플래티넘(유튜브 프리미엄)
유튜프 프리미엄 요금제,PA00002812,NA00009123,0 청년 109(유튜브 프리미엄)
