pmProductId,productName,legacyProductId
PA00000414,band 어르신 1.2G,
PA00000506,골든에이지34,
PA00000530,골든에이지52,
PA00000545,실버스마트15,
PA00000599,band 어르신 2.2G,
PA00000600,3G band어르신 세이브,
PA00000532,스마트 어르신팩,
PA00000243,3G T끼리팅45,
BA00000047,Wavve 2천원 할인,
PA00000229,0 청년 다이렉트 76,
BA00000077,인피니티 여행 혜택,
BA00000046,"T플랜 맥스, 5GX플래티넘 Wavve 무료",
BA00000048,T우주패스 제공(YouTube Premium 옵션 선택 필요),
BA00001858,T우주패스+플러스 상품 제공,
BB00000001,T공시지원금,
BA00000031,선택약정,
BA00000028,0히어로 혜택,
BA00000073,요금약정할인제도,
BA00000056,태블릿/스마트워치 요금할인,
BA00000038,FLO 무료,
BA00000076,인피니티 콘텐츠 혜택,
BA00000041,Wavve 무료,
BA00001857,우주패스 편의점&카페 할인,
BA00001871,T우주패스 쇼핑(11번가/G마켓) 제공,
BA00000058,단말보험할인 ①,
BA00000037,T멤버십 VIP,
BA00000042,Wavve 할인,
BA00000039,FLO 할인,
BA00000040,"FLO 무료(최대 7,900원)",
BA00000045,Wavve 앤 데이터 무료,
BA00001870,Wavve & FLO 동시할인,
BA00000044,Wavve 콘텐츠팩(플러스) 할인,
BA00000043,"Wavve 무료(최대 9,900원)",
BA00000057,스마트기기 할인팩,
BA00000080,0청년 커피할인,
BA00001872,T우주패스 쇼핑 제공(FLO 또는 Wavve 옵션 선택 필요),
BA00000078,0청년 영화할인,
BA00000079,0청년 로밍할인,
BA00002132,갤럭시 AI 클럽 할인,
BA00000053,넷플릭스 구독 제공,
BA00000059,단말보험할인 ②,
BA00001874,T우주패스 편의점&카페 할인(FLO 또는 Wavve 옵션 선택 필요),
BA00002131,T우주패스 제공(디즈니플러스 옵션 선택 필요),
PB00002138,T가족모아데이터,
NA00008265,0 청년 59 데이터 충전 15GB,
BA00000098,우주패스(유튜브프리미엄)할인,
PA00000230,0 청년 다이렉트 76(넷플릭스),
PA00000226,0틴 5G 43,
BA00000083,FLO 할인_최대 5530원 1,
BA00001927,T가족모아데이터,
NA00008262,0 청년 59 데이터 충전 100GB,
